Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (3 grupos de edad);Españoles/Extranjeros;Año;Total
Total Nacional;01 Andalucía;Ambos sexos;65 y más;Extranjeros;2021;80.531
Total Nacional;01 Andalucía;Ambos sexos;65 y más;Extranjeros;2020;77.885
Total Nacional;01 Andalucía;Ambos sexos;65 y más;Extranjeros;2019;73.433
Total Nacional;01 Andalucía;Hombres;TOTAL EDADES;TOTAL;2021;4.173.339
Total Nacional;01 Andalucía;Hombres;TOTAL EDADES;TOTAL;2020;4.170.605
Total Nacional;01 Andalucía;Hombres;TOTAL EDADES;TOTAL;2019;4.147.167
Total Nacional;01 Andalucía;Hombres;TOTAL EDADES;Españoles;2021;3.814.304
Total Nacional;01 Andalucía;Hombres;TOTAL EDADES;Españoles;2020;3.816.350
Total Nacional;01 Andalucía;Hombres;TOTAL EDADES;Españoles;2019;3.815.319
Total Nacional;01 Andalucía;Hombres;TOTAL EDADES;Extranjeros;2021;359.035
Total Nacional;01 Andalucía;Hombres;TOTAL EDADES;Extranjeros;2020;354.255
Total Nacional;01 Andalucía;Hombres;TOTAL EDADES;Extranjeros;2019;331.848
Total Nacional;01 Andalucía;Hombres;0-15 años;TOTAL;2021;707.765
Total Nacional;01 Andalucía;Hombres;0-15 años;TOTAL;2020;721.104
Total Nacional;01 Andalucía;Hombres;0-15 años;TOTAL;2019;727.646
Total Nacional;01 Andalucía;Hombres;0-15 años;Españoles;2021;656.179
Total Nacional;01 Andalucía;Hombres;0-15 años;Españoles;2020;669.148
Total Nacional;01 Andalucía;Hombres;0-15 años;Españoles;2019;679.238
Total Nacional;01 Andalucía;Hombres;0-15 años;Extranjeros;2021;51.586
Total Nacional;01 Andalucía;Hombres;0-15 años;Extranjeros;2020;51.956
Total Nacional;01 Andalucía;Hombres;0-15 años;Extranjeros;2019;48.408
Total Nacional;01 Andalucía;Hombres;16-64 años;TOTAL;2021;2.811.635
Total Nacional;01 Andalucía;Hombres;16-64 años;TOTAL;2020;2.807.707
Total Nacional;01 Andalucía;Hombres;16-64 años;TOTAL;2019;2.792.483
Total Nacional;01 Andalucía;Hombres;16-64 años;Españoles;2021;2.544.440
Total Nacional;01 Andalucía;Hombres;16-64 años;Españoles;2020;2.544.447
Total Nacional;01 Andalucía;Hombres;16-64 años;Españoles;2019;2.546.007
Total Nacional;01 Andalucía;Hombres;16-64 años;Extranjeros;2021;267.195
Total Nacional;01 Andalucía;Hombres;16-64 años;Extranjeros;2020;263.260
Total Nacional;01 Andalucía;Hombres;16-64 años;Extranjeros;2019;246.476
Total Nacional;01 Andalucía;Hombres;65 y más;TOTAL;2021;653.939
Total Nacional;01 Andalucía;Hombres;65 y más;TOTAL;2020;641.794
Total Nacional;01 Andalucía;Hombres;65 y más;TOTAL;2019;627.038
Total Nacional;01 Andalucía;Hombres;65 y más;Españoles;2021;613.685
Total Nacional;01 Andalucía;Hombres;65 y más;Españoles;2020;602.755
Total Nacional;01 Andalucía;Hombres;65 y más;Españoles;2019;590.074
Total Nacional;01 Andalucía;Hombres;65 y más;Extranjeros;2021;40.254
Total Nacional;01 Andalucía;Hombres;65 y más;Extranjeros;2020;39.039
Total Nacional;01 Andalucía;Hombres;65 y más;Extranjeros;2019;36.964
Total Nacional;01 Andalucía;Mujeres;TOTAL EDADES;TOTAL;2021;4.299.068
Total Nacional;01 Andalucía;Mujeres;TOTAL EDADES;TOTAL;2020;4.293.806
Total Nacional;01 Andalucía;Mujeres;TOTAL EDADES;TOTAL;2019;4.267.073
Total Nacional;01 Andalucía;Mujeres;TOTAL EDADES;Españoles;2021;3.946.187
Total Nacional;01 Andalucía;Mujeres;TOTAL EDADES;Españoles;2020;3.946.043
Total Nacional;01 Andalucía;Mujeres;TOTAL EDADES;Españoles;2019;3.943.366
Total Nacional;01 Andalucía;Mujeres;TOTAL EDADES;Extranjeros;2021;352.881
Total Nacional;01 Andalucía;Mujeres;TOTAL EDADES;Extranjeros;2020;347.763
Total Nacional;01 Andalucía;Mujeres;TOTAL EDADES;Extranjeros;2019;323.707
Total Nacional;01 Andalucía;Mujeres;0-15 años;TOTAL;2021;669.036
Total Nacional;01 Andalucía;Mujeres;0-15 años;TOTAL;2020;681.094
Total Nacional;01 Andalucía;Mujeres;0-15 años;TOTAL;2019;687.793
Total Nacional;01 Andalucía;Mujeres;0-15 años;Españoles;2021;620.076
Total Nacional;01 Andalucía;Mujeres;0-15 años;Españoles;2020;631.814
Total Nacional;01 Andalucía;Mujeres;0-15 años;Españoles;2019;641.912
Total Nacional;01 Andalucía;Mujeres;0-15 años;Extranjeros;2021;48.960
Total Nacional;01 Andalucía;Mujeres;0-15 años;Extranjeros;2020;49.280
Total Nacional;01 Andalucía;Mujeres;0-15 años;Extranjeros;2019;45.881
Total Nacional;01 Andalucía;Mujeres;16-64 años;TOTAL;2021;2.788.578
Total Nacional;01 Andalucía;Mujeres;16-64 años;TOTAL;2020;2.783.693
Total Nacional;01 Andalucía;Mujeres;16-64 años;TOTAL;2019;2.766.216
Total Nacional;01 Andalucía;Mujeres;16-64 años;Españoles;2021;2.524.934
Total Nacional;01 Andalucía;Mujeres;16-64 años;Españoles;2020;2.524.056
Total Nacional;01 Andalucía;Mujeres;16-64 años;Españoles;2019;2.524.859
Total Nacional;01 Andalucía;Mujeres;16-64 años;Extranjeros;2021;263.644
Total Nacional;01 Andalucía;Mujeres;16-64 años;Extranjeros;2020;259.637
Total Nacional;01 Andalucía;Mujeres;16-64 años;Extranjeros;2019;241.357
Total Nacional;01 Andalucía;Mujeres;65 y más;TOTAL;2021;841.454
Total Nacional;01 Andalucía;Mujeres;65 y más;TOTAL;2020;829.019
Total Nacional;01 Andalucía;Mujeres;65 y más;TOTAL;2019;813.064
Total Nacional;01 Andalucía;Mujeres;65 y más;Españoles;2021;801.177
Total Nacional;01 Andalucía;Mujeres;65 y más;Españoles;2020;790.173
Total Nacional;01 Andalucía;Mujeres;65 y más;Españoles;2019;776.595
Total Nacional;01 Andalucía;Mujeres;65 y más;Extranjeros;2021;40.277
Total Nacional;01 Andalucía;Mujeres;65 y más;Extranjeros;2020;38.846
Total Nacional;01 Andalucía;Mujeres;65 y más;Extranjeros;2019;36.469
Total Nacional;02 Aragón;Ambos sexos;TOTAL EDADES;TOTAL;2021;1.326.261
Total Nacional;02 Aragón;Ambos sexos;TOTAL EDADES;TOTAL;2020;1.329.391
Total Nacional;02 Aragón;Ambos sexos;TOTAL EDADES;TOTAL;2019;1.319.291
Total Nacional;02 Aragón;Ambos sexos;TOTAL EDADES;Españoles;2021;1.163.912
Total Nacional;02 Aragón;Ambos sexos;TOTAL EDADES;Españoles;2020;1.167.343
Total Nacional;02 Aragón;Ambos sexos;TOTAL EDADES;Españoles;2019;1.169.992
Total Nacional;02 Aragón;Ambos sexos;TOTAL EDADES;Extranjeros;2021;162.349
Total Nacional;02 Aragón;Ambos sexos;TOTAL EDADES;Extranjeros;2020;162.048
Total Nacional;02 Aragón;Ambos sexos;TOTAL EDADES;Extranjeros;2019;149.299
Total Nacional;02 Aragón;Ambos sexos;0-15 años;TOTAL;2021;193.938
Total Nacional;02 Aragón;Ambos sexos;0-15 años;TOTAL;2020;196.627
Total Nacional;02 Aragón;Ambos sexos;0-15 años;TOTAL;2019;197.140
Total Nacional;02 Aragón;Ambos sexos;0-15 años;Españoles;2021;166.353
Total Nacional;02 Aragón;Ambos sexos;0-15 años;Españoles;2020;169.137
Total Nacional;02 Aragón;Ambos sexos;0-15 años;Españoles;2019;171.412
Total Nacional;02 Aragón;Ambos sexos;0-15 años;Extranjeros;2021;27.585
Total Nacional;02 Aragón;Ambos sexos;0-15 años;Extranjeros;2020;27.490
Total Nacional;02 Aragón;Ambos sexos;0-15 años;Extranjeros;2019;25.728
Total Nacional;02 Aragón;Ambos sexos;16-64 años;TOTAL;2021;842.720
Total Nacional;02 Aragón;Ambos sexos;16-64 años;TOTAL;2020;844.102
Total Nacional;02 Aragón;Ambos sexos;16-64 años;TOTAL;2019;836.551
Total Nacional;02 Aragón;Ambos sexos;16-64 años;Españoles;2021;713.059
Total Nacional;02 Aragón;Ambos sexos;16-64 años;Españoles;2020;714.297
Total Nacional;02 Aragón;Ambos sexos;16-64 años;Españoles;2019;717.021
Total Nacional;02 Aragón;Ambos sexos;16-64 años;Extranjeros;2021;129.661
Total Nacional;02 Aragón;Ambos sexos;16-64 años;Extranjeros;2020;129.805
Total Nacional;02 Aragón;Ambos sexos;16-64 años;Extranjeros;2019;119.530
Total Nacional;02 Aragón;Ambos sexos;65 y más;TOTAL;2021;289.603
Total Nacional;02 Aragón;Ambos sexos;65 y más;TOTAL;2020;288.662
Total Nacional;02 Aragón;Ambos sexos;65 y más;TOTAL;2019;285.600
Total Nacional;02 Aragón;Ambos sexos;65 y más;Españoles;2021;284.500
Total Nacional;02 Aragón;Ambos sexos;65 y más;Españoles;2020;283.909
Total Nacional;02 Aragón;Ambos sexos;65 y más;Españoles;2019;281.559
Total Nacional;02 Aragón;Ambos sexos;65 y más;Extranjeros;2021;5.103
Total Nacional;02 Aragón;Ambos sexos;65 y más;Extranjeros;2020;4.753
Total Nacional;02 Aragón;Ambos sexos;65 y más;Extranjeros;2019;4.041
Total Nacional;02 Aragón;Hombres;TOTAL EDADES;TOTAL;2021;655.248
Total Nacional;02 Aragón;Hombres;TOTAL EDADES;TOTAL;2020;656.056
Total Nacional;02 Aragón;Hombres;TOTAL EDADES;TOTAL;2019;650.694
Total Nacional;02 Aragón;Hombres;TOTAL EDADES;Españoles;2021;572.418
Total Nacional;02 Aragón;Hombres;TOTAL EDADES;Españoles;2020;573.957
Total Nacional;02 Aragón;Hombres;TOTAL EDADES;Españoles;2019;575.399
Total Nacional;02 Aragón;Hombres;TOTAL EDADES;Extranjeros;2021;82.830
Total Nacional;02 Aragón;Hombres;TOTAL EDADES;Extranjeros;2020;82.099
Total Nacional;02 Aragón;Hombres;TOTAL EDADES;Extranjeros;2019;75.295
Total Nacional;02 Aragón;Hombres;0-15 años;TOTAL;2021;99.742
Total Nacional;02 Aragón;Hombres;0-15 años;TOTAL;2020;101.073
Total Nacional;02 Aragón;Hombres;0-15 años;TOTAL;2019;101.276
Total Nacional;02 Aragón;Hombres;0-15 años;Españoles;2021;85.490
Total Nacional;02 Aragón;Hombres;0-15 años;Españoles;2020;86.845
Total Nacional;02 Aragón;Hombres;0-15 años;Españoles;2019;87.984
Total Nacional;02 Aragón;Hombres;0-15 años;Extranjeros;2021;14.252
Total Nacional;02 Aragón;Hombres;0-15 años;Extranjeros;2020;14.228
Total Nacional;02 Aragón;Hombres;0-15 años;Extranjeros;2019;13.292
Total Nacional;02 Aragón;Hombres;16-64 años;TOTAL;2021;429.132
Total Nacional;02 Aragón;Hombres;16-64 años;TOTAL;2020;429.381
Total Nacional;02 Aragón;Hombres;16-64 años;TOTAL;2019;425.183
Total Nacional;02 Aragón;Hombres;16-64 años;Españoles;2021;362.678
Total Nacional;02 Aragón;Hombres;16-64 años;Españoles;2020;363.457
Total Nacional;02 Aragón;Hombres;16-64 años;Españoles;2019;364.835
Total Nacional;02 Aragón;Hombres;16-64 años;Extranjeros;2021;66.454
Total Nacional;02 Aragón;Hombres;16-64 años;Extranjeros;2020;65.924
Total Nacional;02 Aragón;Hombres;16-64 años;Extranjeros;2019;60.348
Total Nacional;02 Aragón;Hombres;65 y más;TOTAL;2021;126.374
Total Nacional;02 Aragón;Hombres;65 y más;TOTAL;2020;125.602
