Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (3 grupos de edad);Españoles/Extranjeros;Año;Total
Total Nacional;06 Cantabria;Ambos sexos;16-64 años;Extranjeros;2021;29.219
Total Nacional;06 Cantabria;Ambos sexos;16-64 años;Extranjeros;2020;29.042
Total Nacional;06 Cantabria;Ambos sexos;16-64 años;Extranjeros;2019;26.591
Total Nacional;06 Cantabria;Ambos sexos;65 y más;TOTAL;2021;132.016
Total Nacional;06 Cantabria;Ambos sexos;65 y más;TOTAL;2020;129.425
Total Nacional;06 Cantabria;Ambos sexos;65 y más;TOTAL;2019;126.900
Total Nacional;06 Cantabria;Ambos sexos;65 y más;Españoles;2021;130.185
Total Nacional;06 Cantabria;Ambos sexos;65 y más;Españoles;2020;127.725
Total Nacional;06 Cantabria;Ambos sexos;65 y más;Españoles;2019;125.430
Total Nacional;06 Cantabria;Ambos sexos;65 y más;Extranjeros;2021;1.831
Total Nacional;06 Cantabria;Ambos sexos;65 y más;Extranjeros;2020;1.700
Total Nacional;06 Cantabria;Ambos sexos;65 y más;Extranjeros;2019;1.470
Total Nacional;06 Cantabria;Hombres;TOTAL EDADES;TOTAL;2021;283.378
Total Nacional;06 Cantabria;Hombres;TOTAL EDADES;TOTAL;2020;282.559
Total Nacional;06 Cantabria;Hombres;TOTAL EDADES;TOTAL;2019;281.801
Total Nacional;06 Cantabria;Hombres;TOTAL EDADES;Españoles;2021;266.157
Total Nacional;06 Cantabria;Hombres;TOTAL EDADES;Españoles;2020;265.457
Total Nacional;06 Cantabria;Hombres;TOTAL EDADES;Españoles;2019;266.090
Total Nacional;06 Cantabria;Hombres;TOTAL EDADES;Extranjeros;2021;17.221
Total Nacional;06 Cantabria;Hombres;TOTAL EDADES;Extranjeros;2020;17.102
Total Nacional;06 Cantabria;Hombres;TOTAL EDADES;Extranjeros;2019;15.711
Total Nacional;06 Cantabria;Hombres;0-15 años;TOTAL;2021;40.972
Total Nacional;06 Cantabria;Hombres;0-15 años;TOTAL;2020;41.699
Total Nacional;06 Cantabria;Hombres;0-15 años;TOTAL;2019;42.223
Total Nacional;06 Cantabria;Hombres;0-15 años;Españoles;2021;38.393
Total Nacional;06 Cantabria;Hombres;0-15 años;Españoles;2020;39.084
Total Nacional;06 Cantabria;Hombres;0-15 años;Españoles;2019;39.805
Total Nacional;06 Cantabria;Hombres;0-15 años;Extranjeros;2021;2.579
Total Nacional;06 Cantabria;Hombres;0-15 años;Extranjeros;2020;2.615
Total Nacional;06 Cantabria;Hombres;0-15 años;Extranjeros;2019;2.418
Total Nacional;06 Cantabria;Hombres;16-64 años;TOTAL;2021;185.867
Total Nacional;06 Cantabria;Hombres;16-64 años;TOTAL;2020;185.701
Total Nacional;06 Cantabria;Hombres;16-64 años;TOTAL;2019;185.546
Total Nacional;06 Cantabria;Hombres;16-64 años;Españoles;2021;171.958
Total Nacional;06 Cantabria;Hombres;16-64 años;Españoles;2020;171.882
Total Nacional;06 Cantabria;Hombres;16-64 años;Españoles;2019;172.824
Total Nacional;06 Cantabria;Hombres;16-64 años;Extranjeros;2021;13.909
Total Nacional;06 Cantabria;Hombres;16-64 años;Extranjeros;2020;13.819
Total Nacional;06 Cantabria;Hombres;16-64 años;Extranjeros;2019;12.722
Total Nacional;06 Cantabria;Hombres;65 y más;TOTAL;2021;56.539
Total Nacional;06 Cantabria;Hombres;65 y más;TOTAL;2020;55.159
Total Nacional;06 Cantabria;Hombres;65 y más;TOTAL;2019;54.032
Total Nacional;06 Cantabria;Hombres;65 y más;Españoles;2021;55.806
Total Nacional;06 Cantabria;Hombres;65 y más;Españoles;2020;54.491
Total Nacional;06 Cantabria;Hombres;65 y más;Españoles;2019;53.461
Total Nacional;06 Cantabria;Hombres;65 y más;Extranjeros;2021;733
Total Nacional;06 Cantabria;Hombres;65 y más;Extranjeros;2020;668
Total Nacional;06 Cantabria;Hombres;65 y más;Extranjeros;2019;571
Total Nacional;06 Cantabria;Mujeres;TOTAL EDADES;TOTAL;2021;301.129
Total Nacional;06 Cantabria;Mujeres;TOTAL EDADES;TOTAL;2020;300.346
Total Nacional;06 Cantabria;Mujeres;TOTAL EDADES;TOTAL;2019;299.277
Total Nacional;06 Cantabria;Mujeres;TOTAL EDADES;Españoles;2021;282.183
Total Nacional;06 Cantabria;Mujeres;TOTAL EDADES;Españoles;2020;281.552
Total Nacional;06 Cantabria;Mujeres;TOTAL EDADES;Españoles;2019;282.205
Total Nacional;06 Cantabria;Mujeres;TOTAL EDADES;Extranjeros;2021;18.946
Total Nacional;06 Cantabria;Mujeres;TOTAL EDADES;Extranjeros;2020;18.794
Total Nacional;06 Cantabria;Mujeres;TOTAL EDADES;Extranjeros;2019;17.072
Total Nacional;06 Cantabria;Mujeres;0-15 años;TOTAL;2021;38.994
Total Nacional;06 Cantabria;Mujeres;0-15 años;TOTAL;2020;39.822
Total Nacional;06 Cantabria;Mujeres;0-15 años;TOTAL;2019;40.327
Total Nacional;06 Cantabria;Mujeres;0-15 años;Españoles;2021;36.456
Total Nacional;06 Cantabria;Mujeres;0-15 años;Españoles;2020;37.283
Total Nacional;06 Cantabria;Mujeres;0-15 años;Españoles;2019;38.023
Total Nacional;06 Cantabria;Mujeres;0-15 años;Extranjeros;2021;2.538
Total Nacional;06 Cantabria;Mujeres;0-15 años;Extranjeros;2020;2.539
Total Nacional;06 Cantabria;Mujeres;0-15 años;Extranjeros;2019;2.304
Total Nacional;06 Cantabria;Mujeres;16-64 años;TOTAL;2021;186.658
Total Nacional;06 Cantabria;Mujeres;16-64 años;TOTAL;2020;186.258
Total Nacional;06 Cantabria;Mujeres;16-64 años;TOTAL;2019;186.082
Total Nacional;06 Cantabria;Mujeres;16-64 años;Españoles;2021;171.348
Total Nacional;06 Cantabria;Mujeres;16-64 años;Españoles;2020;171.035
Total Nacional;06 Cantabria;Mujeres;16-64 años;Españoles;2019;172.213
Total Nacional;06 Cantabria;Mujeres;16-64 años;Extranjeros;2021;15.310
Total Nacional;06 Cantabria;Mujeres;16-64 años;Extranjeros;2020;15.223
Total Nacional;06 Cantabria;Mujeres;16-64 años;Extranjeros;2019;13.869
Total Nacional;06 Cantabria;Mujeres;65 y más;TOTAL;2021;75.477
Total Nacional;06 Cantabria;Mujeres;65 y más;TOTAL;2020;74.266
Total Nacional;06 Cantabria;Mujeres;65 y más;TOTAL;2019;72.868
Total Nacional;06 Cantabria;Mujeres;65 y más;Españoles;2021;74.379
Total Nacional;06 Cantabria;Mujeres;65 y más;Españoles;2020;73.234
Total Nacional;06 Cantabria;Mujeres;65 y más;Españoles;2019;71.969
Total Nacional;06 Cantabria;Mujeres;65 y más;Extranjeros;2021;1.098
Total Nacional;06 Cantabria;Mujeres;65 y más;Extranjeros;2020;1.032
Total Nacional;06 Cantabria;Mujeres;65 y más;Extranjeros;2019;899
Total Nacional;07 Castilla y León;Ambos sexos;TOTAL EDADES;TOTAL;2021;2.383.139
Total Nacional;07 Castilla y León;Ambos sexos;TOTAL EDADES;TOTAL;2020;2.394.918
Total Nacional;07 Castilla y León;Ambos sexos;TOTAL EDADES;TOTAL;2019;2.399.548
Total Nacional;07 Castilla y León;Ambos sexos;TOTAL EDADES;Españoles;2021;2.239.029
Total Nacional;07 Castilla y León;Ambos sexos;TOTAL EDADES;Españoles;2020;2.253.761
Total Nacional;07 Castilla y León;Ambos sexos;TOTAL EDADES;Españoles;2019;2.269.754
Total Nacional;07 Castilla y León;Ambos sexos;TOTAL EDADES;Extranjeros;2021;144.110
Total Nacional;07 Castilla y León;Ambos sexos;TOTAL EDADES;Extranjeros;2020;141.157
Total Nacional;07 Castilla y León;Ambos sexos;TOTAL EDADES;Extranjeros;2019;129.794
Total Nacional;07 Castilla y León;Ambos sexos;0-15 años;TOTAL;2021;297.020
Total Nacional;07 Castilla y León;Ambos sexos;0-15 años;TOTAL;2020;302.045
Total Nacional;07 Castilla y León;Ambos sexos;0-15 años;TOTAL;2019;305.152
Total Nacional;07 Castilla y León;Ambos sexos;0-15 años;Españoles;2021;273.361
Total Nacional;07 Castilla y León;Ambos sexos;0-15 años;Españoles;2020;278.562
Total Nacional;07 Castilla y León;Ambos sexos;0-15 años;Españoles;2019;283.441
Total Nacional;07 Castilla y León;Ambos sexos;0-15 años;Extranjeros;2021;23.659
Total Nacional;07 Castilla y León;Ambos sexos;0-15 años;Extranjeros;2020;23.483
Total Nacional;07 Castilla y León;Ambos sexos;0-15 años;Extranjeros;2019;21.711
Total Nacional;07 Castilla y León;Ambos sexos;16-64 años;TOTAL;2021;1.472.608
Total Nacional;07 Castilla y León;Ambos sexos;16-64 años;TOTAL;2020;1.479.169
Total Nacional;07 Castilla y León;Ambos sexos;16-64 años;TOTAL;2019;1.485.866
Total Nacional;07 Castilla y León;Ambos sexos;16-64 años;Españoles;2021;1.357.980
Total Nacional;07 Castilla y León;Ambos sexos;16-64 años;Españoles;2020;1.366.896
Total Nacional;07 Castilla y León;Ambos sexos;16-64 años;Españoles;2019;1.382.388
Total Nacional;07 Castilla y León;Ambos sexos;16-64 años;Extranjeros;2021;114.628
Total Nacional;07 Castilla y León;Ambos sexos;16-64 años;Extranjeros;2020;112.273
Total Nacional;07 Castilla y León;Ambos sexos;16-64 años;Extranjeros;2019;103.478
Total Nacional;07 Castilla y León;Ambos sexos;65 y más;TOTAL;2021;613.511
Total Nacional;07 Castilla y León;Ambos sexos;65 y más;TOTAL;2020;613.704
Total Nacional;07 Castilla y León;Ambos sexos;65 y más;TOTAL;2019;608.530
Total Nacional;07 Castilla y León;Ambos sexos;65 y más;Españoles;2021;607.688
Total Nacional;07 Castilla y León;Ambos sexos;65 y más;Españoles;2020;608.303
Total Nacional;07 Castilla y León;Ambos sexos;65 y más;Españoles;2019;603.925
Total Nacional;07 Castilla y León;Ambos sexos;65 y más;Extranjeros;2021;5.823
Total Nacional;07 Castilla y León;Ambos sexos;65 y más;Extranjeros;2020;5.401
Total Nacional;07 Castilla y León;Ambos sexos;65 y más;Extranjeros;2019;4.605
Total Nacional;07 Castilla y León;Hombres;TOTAL EDADES;TOTAL;2021;1.173.114
Total Nacional;07 Castilla y León;Hombres;TOTAL EDADES;TOTAL;2020;1.178.846
Total Nacional;07 Castilla y León;Hombres;TOTAL EDADES;TOTAL;2019;1.181.401
Total Nacional;07 Castilla y León;Hombres;TOTAL EDADES;Españoles;2021;1.102.681
Total Nacional;07 Castilla y León;Hombres;TOTAL EDADES;Españoles;2020;1.109.825
Total Nacional;07 Castilla y León;Hombres;TOTAL EDADES;Españoles;2019;1.117.869
Total Nacional;07 Castilla y León;Hombres;TOTAL EDADES;Extranjeros;2021;70.433
Total Nacional;07 Castilla y León;Hombres;TOTAL EDADES;Extranjeros;2020;69.021
Total Nacional;07 Castilla y León;Hombres;TOTAL EDADES;Extranjeros;2019;63.532
Total Nacional;07 Castilla y León;Hombres;0-15 años;TOTAL;2021;152.744
Total Nacional;07 Castilla y León;Hombres;0-15 años;TOTAL;2020;155.286
Total Nacional;07 Castilla y León;Hombres;0-15 años;TOTAL;2019;156.754
Total Nacional;07 Castilla y León;Hombres;0-15 años;Españoles;2021;140.642
Total Nacional;07 Castilla y León;Hombres;0-15 años;Españoles;2020;143.244
Total Nacional;07 Castilla y León;Hombres;0-15 años;Españoles;2019;145.623
Total Nacional;07 Castilla y León;Hombres;0-15 años;Extranjeros;2021;12.102
Total Nacional;07 Castilla y León;Hombres;0-15 años;Extranjeros;2020;12.042
Total Nacional;07 Castilla y León;Hombres;0-15 años;Extranjeros;2019;11.131
Total Nacional;07 Castilla y León;Hombres;16-64 años;TOTAL;2021;747.178
Total Nacional;07 Castilla y León;Hombres;16-64 años;TOTAL;2020;751.077
Total Nacional;07 Castilla y León;Hombres;16-64 años;TOTAL;2019;755.326
Total Nacional;07 Castilla y León;Hombres;16-64 años;Españoles;2021;691.358
Total Nacional;07 Castilla y León;Hombres;16-64 años;Españoles;2020;696.443
Total Nacional;07 Castilla y León;Hombres;16-64 años;Españoles;2019;704.939
Total Nacional;07 Castilla y León;Hombres;16-64 años;Extranjeros;2021;55.820
Total Nacional;07 Castilla y León;Hombres;16-64 años;Extranjeros;2020;54.634
Total Nacional;07 Castilla y León;Hombres;16-64 años;Extranjeros;2019;50.387
Total Nacional;07 Castilla y León;Hombres;65 y más;TOTAL;2021;273.192
Total Nacional;07 Castilla y León;Hombres;65 y más;TOTAL;2020;272.483
Total Nacional;07 Castilla y León;Hombres;65 y más;TOTAL;2019;269.321
Total Nacional;07 Castilla y León;Hombres;65 y más;Españoles;2021;270.681
Total Nacional;07 Castilla y León;Hombres;65 y más;Españoles;2020;270.138
Total Nacional;07 Castilla y León;Hombres;65 y más;Españoles;2019;267.307
Total Nacional;07 Castilla y León;Hombres;65 y más;Extranjeros;2021;2.511
Total Nacional;07 Castilla y León;Hombres;65 y más;Extranjeros;2020;2.345
Total Nacional;07 Castilla y León;Hombres;65 y más;Extranjeros;2019;2.014
Total Nacional;07 Castilla y León;Mujeres;TOTAL EDADES;TOTAL;2021;1.210.025
Total Nacional;07 Castilla y León;Mujeres;TOTAL EDADES;TOTAL;2020;1.216.072
Total Nacional;07 Castilla y León;Mujeres;TOTAL EDADES;TOTAL;2019;1.218.147
Total Nacional;07 Castilla y León;Mujeres;TOTAL EDADES;Españoles;2021;1.136.348
Total Nacional;07 Castilla y León;Mujeres;TOTAL EDADES;Españoles;2020;1.143.936
Total Nacional;07 Castilla y León;Mujeres;TOTAL EDADES;Españoles;2019;1.151.885
Total Nacional;07 Castilla y León;Mujeres;TOTAL EDADES;Extranjeros;2021;73.677
Total Nacional;07 Castilla y León;Mujeres;TOTAL EDADES;Extranjeros;2020;72.136
Total Nacional;07 Castilla y León;Mujeres;TOTAL EDADES;Extranjeros;2019;66.262
Total Nacional;07 Castilla y León;Mujeres;0-15 años;TOTAL;2021;144.276
Total Nacional;07 Castilla y León;Mujeres;0-15 años;TOTAL;2020;146.759
Total Nacional;07 Castilla y León;Mujeres;0-15 años;TOTAL;2019;148.398
Total Nacional;07 Castilla y León;Mujeres;0-15 años;Españoles;2021;132.719
Total Nacional;07 Castilla y León;Mujeres;0-15 años;Españoles;2020;135.318
Total Nacional;07 Castilla y León;Mujeres;0-15 años;Españoles;2019;137.818
Total Nacional;07 Castilla y León;Mujeres;0-15 años;Extranjeros;2021;11.557
Total Nacional;07 Castilla y León;Mujeres;0-15 años;Extranjeros;2020;11.441
Total Nacional;07 Castilla y León;Mujeres;0-15 años;Extranjeros;2019;10.580
Total Nacional;07 Castilla y León;Mujeres;16-64 años;TOTAL;2021;725.430
Total Nacional;07 Castilla y León;Mujeres;16-64 años;TOTAL;2020;728.092
Total Nacional;07 Castilla y León;Mujeres;16-64 años;TOTAL;2019;730.540
Total Nacional;07 Castilla y León;Mujeres;16-64 años;Españoles;2021;666.622
Total Nacional;07 Castilla y León;Mujeres;16-64 años;Españoles;2020;670.453
Total Nacional;07 Castilla y León;Mujeres;16-64 años;Españoles;2019;677.449
Total Nacional;07 Castilla y León;Mujeres;16-64 años;Extranjeros;2021;58.808
Total Nacional;07 Castilla y León;Mujeres;16-64 años;Extranjeros;2020;57.639
Total Nacional;07 Castilla y León;Mujeres;16-64 años;Extranjeros;2019;53.091
Total Nacional;07 Castilla y León;Mujeres;65 y más;TOTAL;2021;340.319
Total Nacional;07 Castilla y León;Mujeres;65 y más;TOTAL;2020;341.221
Total Nacional;07 Castilla y León;Mujeres;65 y más;TOTAL;2019;339.209
Total Nacional;07 Castilla y León;Mujeres;65 y más;Españoles;2021;337.007
Total Nacional;07 Castilla y León;Mujeres;65 y más;Españoles;2020;338.165
Total Nacional;07 Castilla y León;Mujeres;65 y más;Españoles;2019;336.618
Total Nacional;07 Castilla y León;Mujeres;65 y más;Extranjeros;2021;3.312
Total Nacional;07 Castilla y León;Mujeres;65 y más;Extranjeros;2020;3.056
Total Nacional;07 Castilla y León;Mujeres;65 y más;Extranjeros;2019;2.591
Total Nacional;08 Castilla - La Mancha;Ambos sexos;TOTAL EDADES;TOTAL;2021;2.049.562
Total Nacional;08 Castilla - La Mancha;Ambos sexos;TOTAL EDADES;TOTAL;2020;2.045.221
Total Nacional;08 Castilla - La Mancha;Ambos sexos;TOTAL EDADES;TOTAL;2019;2.032.863
Total Nacional;08 Castilla - La Mancha;Ambos sexos;TOTAL EDADES;Españoles;2021;1.859.995
Total Nacional;08 Castilla - La Mancha;Ambos sexos;TOTAL EDADES;Españoles;2020;1.858.267
Total Nacional;08 Castilla - La Mancha;Ambos sexos;TOTAL EDADES;Españoles;2019;1.860.767
Total Nacional;08 Castilla - La Mancha;Ambos sexos;TOTAL EDADES;Extranjeros;2021;189.567
Total Nacional;08 Castilla - La Mancha;Ambos sexos;TOTAL EDADES;Extranjeros;2020;186.954
Total Nacional;08 Castilla - La Mancha;Ambos sexos;TOTAL EDADES;Extranjeros;2019;172.096
Total Nacional;08 Castilla - La Mancha;Ambos sexos;0-15 años;TOTAL;2021;321.694
Total Nacional;08 Castilla - La Mancha;Ambos sexos;0-15 años;TOTAL;2020;325.257
Total Nacional;08 Castilla - La Mancha;Ambos sexos;0-15 años;TOTAL;2019;326.963
Total Nacional;08 Castilla - La Mancha;Ambos sexos;0-15 años;Españoles;2021;286.676
Total Nacional;08 Castilla - La Mancha;Ambos sexos;0-15 años;Españoles;2020;290.379
Total Nacional;08 Castilla - La Mancha;Ambos sexos;0-15 años;Españoles;2019;294.217
Total Nacional;08 Castilla - La Mancha;Ambos sexos;0-15 años;Extranjeros;2021;35.018
Total Nacional;08 Castilla - La Mancha;Ambos sexos;0-15 años;Extranjeros;2020;34.878
Total Nacional;08 Castilla - La Mancha;Ambos sexos;0-15 años;Extranjeros;2019;32.746
Total Nacional;08 Castilla - La Mancha;Ambos sexos;16-64 años;TOTAL;2021;1.338.046
Total Nacional;08 Castilla - La Mancha;Ambos sexos;16-64 años;TOTAL;2020;1.329.738
Total Nacional;08 Castilla - La Mancha;Ambos sexos;16-64 años;TOTAL;2019;1.319.417
Total Nacional;08 Castilla - La Mancha;Ambos sexos;16-64 años;Españoles;2021;1.189.802
Total Nacional;08 Castilla - La Mancha;Ambos sexos;16-64 años;Españoles;2020;1.183.460
Total Nacional;08 Castilla - La Mancha;Ambos sexos;16-64 años;Españoles;2019;1.185.005
Total Nacional;08 Castilla - La Mancha;Ambos sexos;16-64 años;Extranjeros;2021;148.244
Total Nacional;08 Castilla - La Mancha;Ambos sexos;16-64 años;Extranjeros;2020;146.278
Total Nacional;08 Castilla - La Mancha;Ambos sexos;16-64 años;Extranjeros;2019;134.412
Total Nacional;08 Castilla - La Mancha;Ambos sexos;65 y más;TOTAL;2021;389.822
Total Nacional;08 Castilla - La Mancha;Ambos sexos;65 y más;TOTAL;2020;390.226
Total Nacional;08 Castilla - La Mancha;Ambos sexos;65 y más;TOTAL;2019;386.483
Total Nacional;08 Castilla - La Mancha;Ambos sexos;65 y más;Españoles;2021;383.517
Total Nacional;08 Castilla - La Mancha;Ambos sexos;65 y más;Españoles;2020;384.428
Total Nacional;08 Castilla - La Mancha;Ambos sexos;65 y más;Españoles;2019;381.545
Total Nacional;08 Castilla - La Mancha;Ambos sexos;65 y más;Extranjeros;2021;6.305
Total Nacional;08 Castilla - La Mancha;Ambos sexos;65 y más;Extranjeros;2020;5.798
Total Nacional;08 Castilla - La Mancha;Ambos sexos;65 y más;Extranjeros;2019;4.938
Total Nacional;08 Castilla - La Mancha;Hombres;TOTAL EDADES;TOTAL;2021;1.026.128
Total Nacional;08 Castilla - La Mancha;Hombres;TOTAL EDADES;TOTAL;2020;1.023.740
Total Nacional;08 Castilla - La Mancha;Hombres;TOTAL EDADES;TOTAL;2019;1.016.954
Total Nacional;08 Castilla - La Mancha;Hombres;TOTAL EDADES;Españoles;2021;929.688
Total Nacional;08 Castilla - La Mancha;Hombres;TOTAL EDADES;Españoles;2020;928.586
Total Nacional;08 Castilla - La Mancha;Hombres;TOTAL EDADES;Españoles;2019;929.548
Total Nacional;08 Castilla - La Mancha;Hombres;TOTAL EDADES;Extranjeros;2021;96.440
Total Nacional;08 Castilla - La Mancha;Hombres;TOTAL EDADES;Extranjeros;2020;95.154
Total Nacional;08 Castilla - La Mancha;Hombres;TOTAL EDADES;Extranjeros;2019;87.406
Total Nacional;08 Castilla - La Mancha;Hombres;0-15 años;TOTAL;2021;165.345
Total Nacional;08 Castilla - La Mancha;Hombres;0-15 años;TOTAL;2020;167.348
Total Nacional;08 Castilla - La Mancha;Hombres;0-15 años;TOTAL;2019;167.903
Total Nacional;08 Castilla - La Mancha;Hombres;0-15 años;Españoles;2021;147.392
Total Nacional;08 Castilla - La Mancha;Hombres;0-15 años;Españoles;2020;149.433
Total Nacional;08 Castilla - La Mancha;Hombres;0-15 años;Españoles;2019;151.170
Total Nacional;08 Castilla - La Mancha;Hombres;0-15 años;Extranjeros;2021;17.953
Total Nacional;08 Castilla - La Mancha;Hombres;0-15 años;Extranjeros;2020;17.915
Total Nacional;08 Castilla - La Mancha;Hombres;0-15 años;Extranjeros;2019;16.733
Total Nacional;08 Castilla - La Mancha;Hombres;16-64 años;TOTAL;2021;686.708
Total Nacional;08 Castilla - La Mancha;Hombres;16-64 años;TOTAL;2020;682.328
Total Nacional;08 Castilla - La Mancha;Hombres;16-64 años;TOTAL;2019;677.016
Total Nacional;08 Castilla - La Mancha;Hombres;16-64 años;Españoles;2021;610.720
Total Nacional;08 Castilla - La Mancha;Hombres;16-64 años;Españoles;2020;607.370
Total Nacional;08 Castilla - La Mancha;Hombres;16-64 años;Españoles;2019;608.308
Total Nacional;08 Castilla - La Mancha;Hombres;16-64 años;Extranjeros;2021;75.988
Total Nacional;08 Castilla - La Mancha;Hombres;16-64 años;Extranjeros;2020;74.958
Total Nacional;08 Castilla - La Mancha;Hombres;16-64 años;Extranjeros;2019;68.708
Total Nacional;08 Castilla - La Mancha;Hombres;65 y más;TOTAL;2021;174.075
Total Nacional;08 Castilla - La Mancha;Hombres;65 y más;TOTAL;2020;174.064
Total Nacional;08 Castilla - La Mancha;Hombres;65 y más;TOTAL;2019;172.035
Total Nacional;08 Castilla - La Mancha;Hombres;65 y más;Españoles;2021;171.576
Total Nacional;08 Castilla - La Mancha;Hombres;65 y más;Españoles;2020;171.783
Total Nacional;08 Castilla - La Mancha;Hombres;65 y más;Españoles;2019;170.070
Total Nacional;08 Castilla - La Mancha;Hombres;65 y más;Extranjeros;2021;2.499
Total Nacional;08 Castilla - La Mancha;Hombres;65 y más;Extranjeros;2020;2.281
Total Nacional;08 Castilla - La Mancha;Hombres;65 y más;Extranjeros;2019;1.965
Total Nacional;08 Castilla - La Mancha;Mujeres;TOTAL EDADES;TOTAL;2021;1.023.434
Total Nacional;08 Castilla - La Mancha;Mujeres;TOTAL EDADES;TOTAL;2020;1.021.481
Total Nacional;08 Castilla - La Mancha;Mujeres;TOTAL EDADES;TOTAL;2019;1.015.909
Total Nacional;08 Castilla - La Mancha;Mujeres;TOTAL EDADES;Españoles;2021;930.307
Total Nacional;08 Castilla - La Mancha;Mujeres;TOTAL EDADES;Españoles;2020;929.681
Total Nacional;08 Castilla - La Mancha;Mujeres;TOTAL EDADES;Españoles;2019;931.219
Total Nacional;08 Castilla - La Mancha;Mujeres;TOTAL EDADES;Extranjeros;2021;93.127
Total Nacional;08 Castilla - La Mancha;Mujeres;TOTAL EDADES;Extranjeros;2020;91.800
Total Nacional;08 Castilla - La Mancha;Mujeres;TOTAL EDADES;Extranjeros;2019;84.690
Total Nacional;08 Castilla - La Mancha;Mujeres;0-15 años;TOTAL;2021;156.349
Total Nacional;08 Castilla - La Mancha;Mujeres;0-15 años;TOTAL;2020;157.909
Total Nacional;08 Castilla - La Mancha;Mujeres;0-15 años;TOTAL;2019;159.060
Total Nacional;08 Castilla - La Mancha;Mujeres;0-15 años;Españoles;2021;139.284
Total Nacional;08 Castilla - La Mancha;Mujeres;0-15 años;Españoles;2020;140.946
Total Nacional;08 Castilla - La Mancha;Mujeres;0-15 años;Españoles;2019;143.047
Total Nacional;08 Castilla - La Mancha;Mujeres;0-15 años;Extranjeros;2021;17.065
Total Nacional;08 Castilla - La Mancha;Mujeres;0-15 años;Extranjeros;2020;16.963
Total Nacional;08 Castilla - La Mancha;Mujeres;0-15 años;Extranjeros;2019;16.013
Total Nacional;08 Castilla - La Mancha;Mujeres;16-64 años;TOTAL;2021;651.338
Total Nacional;08 Castilla - La Mancha;Mujeres;16-64 años;TOTAL;2020;647.410
Total Nacional;08 Castilla - La Mancha;Mujeres;16-64 años;TOTAL;2019;642.401
Total Nacional;08 Castilla - La Mancha;Mujeres;16-64 años;Españoles;2021;579.082
Total Nacional;08 Castilla - La Mancha;Mujeres;16-64 años;Españoles;2020;576.090
Total Nacional;08 Castilla - La Mancha;Mujeres;16-64 años;Españoles;2019;576.697
Total Nacional;08 Castilla - La Mancha;Mujeres;16-64 años;Extranjeros;2021;72.256
Total Nacional;08 Castilla - La Mancha;Mujeres;16-64 años;Extranjeros;2020;71.320
Total Nacional;08 Castilla - La Mancha;Mujeres;16-64 años;Extranjeros;2019;65.704
Total Nacional;08 Castilla - La Mancha;Mujeres;65 y más;TOTAL;2021;215.747
Total Nacional;08 Castilla - La Mancha;Mujeres;65 y más;TOTAL;2020;216.162
Total Nacional;08 Castilla - La Mancha;Mujeres;65 y más;TOTAL;2019;214.448
Total Nacional;08 Castilla - La Mancha;Mujeres;65 y más;Españoles;2021;211.941
Total Nacional;08 Castilla - La Mancha;Mujeres;65 y más;Españoles;2020;212.645
Total Nacional;08 Castilla - La Mancha;Mujeres;65 y más;Españoles;2019;211.475
Total Nacional;08 Castilla - La Mancha;Mujeres;65 y más;Extranjeros;2021;3.806
Total Nacional;08 Castilla - La Mancha;Mujeres;65 y más;Extranjeros;2020;3.517
Total Nacional;08 Castilla - La Mancha;Mujeres;65 y más;Extranjeros;2019;2.973
Total Nacional;09 Cataluña;Ambos sexos;TOTAL EDADES;TOTAL;2021;7.763.362
Total Nacional;09 Cataluña;Ambos sexos;TOTAL EDADES;TOTAL;2020;7.780.479
Total Nacional;09 Cataluña;Ambos sexos;TOTAL EDADES;TOTAL;2019;7.675.217
Total Nacional;09 Cataluña;Ambos sexos;TOTAL EDADES;Españoles;2021;6.512.697
Total Nacional;09 Cataluña;Ambos sexos;TOTAL EDADES;Españoles;2020;6.519.860
Total Nacional;09 Cataluña;Ambos sexos;TOTAL EDADES;Españoles;2019;6.515.790
Total Nacional;09 Cataluña;Ambos sexos;TOTAL EDADES;Extranjeros;2021;1.250.665
Total Nacional;09 Cataluña;Ambos sexos;TOTAL EDADES;Extranjeros;2020;1.260.619
Total Nacional;09 Cataluña;Ambos sexos;TOTAL EDADES;Extranjeros;2019;1.159.427
Total Nacional;09 Cataluña;Ambos sexos;0-15 años;TOTAL;2021;1.223.179
Total Nacional;09 Cataluña;Ambos sexos;0-15 años;TOTAL;2020;1.248.821
Total Nacional;09 Cataluña;Ambos sexos;0-15 años;TOTAL;2019;1.252.038
Total Nacional;09 Cataluña;Ambos sexos;0-15 años;Españoles;2021;1.028.525
Total Nacional;09 Cataluña;Ambos sexos;0-15 años;Españoles;2020;1.049.691
Total Nacional;09 Cataluña;Ambos sexos;0-15 años;Españoles;2019;1.065.477
Total Nacional;09 Cataluña;Ambos sexos;0-15 años;Extranjeros;2021;194.654
Total Nacional;09 Cataluña;Ambos sexos;0-15 años;Extranjeros;2020;199.130
Total Nacional;09 Cataluña;Ambos sexos;0-15 años;Extranjeros;2019;186.561
Total Nacional;09 Cataluña;Ambos sexos;16-64 años;TOTAL;2021;5.061.512
Total Nacional;09 Cataluña;Ambos sexos;16-64 años;TOTAL;2020;5.063.297
