Totales Territoriales;Comunidades y Ciudades Autónomas;Magnitud;Ramas de actividad;periodo;Total
Total Nacional;01 Andalucía;Valor;Valor añadido bruto total;2019;149.582.930
Total Nacional;01 Andalucía;Valor;Impuestos netos sobre los productos;2021(P);15.623.189
Total Nacional;01 Andalucía;Valor;Impuestos netos sobre los productos;2020;13.019.583
Total Nacional;01 Andalucía;Valor;Impuestos netos sobre los productos;2019;15.346.559
Total Nacional;01 Andalucía;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);164.003.435
Total Nacional;01 Andalucía;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;148.779.089
Total Nacional;01 Andalucía;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;164.929.489
Total Nacional;02 Aragón;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2021(P);38.159.471
Total Nacional;02 Aragón;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2020;35.521.579
Total Nacional;02 Aragón;Valor;PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO;2019;38.049.621
Total Nacional;02 Aragón;Valor;A. Agricultura, ganadería, silvicultura y pesca;2021(P);2.251.673
Total Nacional;02 Aragón;Valor;A. Agricultura, ganadería, silvicultura y pesca;2020;2.299.319
Total Nacional;02 Aragón;Valor;A. Agricultura, ganadería, silvicultura y pesca;2019;2.132.072
Total Nacional;02 Aragón;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2021(P);7.652.556
Total Nacional;02 Aragón;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2020;6.951.050
Total Nacional;02 Aragón;Valor;B_E. Industrias extractivas, industria manufacturera, suministro de energía eléctrica, gas, vapor y aire acondicionado, suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;2019;7.429.647
Total Nacional;02 Aragón;Valor;C. - De las cuales: Industria manufacturera;2021(P);6.166.500
Total Nacional;02 Aragón;Valor;C. - De las cuales: Industria manufacturera;2020;5.676.180
Total Nacional;02 Aragón;Valor;C. - De las cuales: Industria manufacturera;2019;6.113.573
Total Nacional;02 Aragón;Valor;F. Construcción;2021(P);1.963.412
Total Nacional;02 Aragón;Valor;F. Construcción;2020;1.900.039
Total Nacional;02 Aragón;Valor;F. Construcción;2019;2.188.416
Total Nacional;02 Aragón;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2021(P);6.730.148
Total Nacional;02 Aragón;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2020;5.860.666
Total Nacional;02 Aragón;Valor;G_I. Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas, transporte y almacenamiento, hostelería;2019;7.139.503
Total Nacional;02 Aragón;Valor;J. Información y comunicaciones;2021(P);733.793
Total Nacional;02 Aragón;Valor;J. Información y comunicaciones;2020;670.609
Total Nacional;02 Aragón;Valor;J. Información y comunicaciones;2019;682.179
Total Nacional;02 Aragón;Valor;K. Actividades financieras y de seguros;2021(P);1.317.594
Total Nacional;02 Aragón;Valor;K. Actividades financieras y de seguros;2020;1.311.945
Total Nacional;02 Aragón;Valor;K. Actividades financieras y de seguros;2019;1.252.990
Total Nacional;02 Aragón;Valor;L. Actividades inmobiliarias;2021(P);3.803.840
Total Nacional;02 Aragón;Valor;L. Actividades inmobiliarias;2020;3.720.903
Total Nacional;02 Aragón;Valor;L. Actividades inmobiliarias;2019;3.702.194
Total Nacional;02 Aragón;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2021(P);2.138.349
Total Nacional;02 Aragón;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2020;1.929.362
Total Nacional;02 Aragón;Valor;M_N. Actividades profesionales, científicas y técnicas, actividades administrativas y servicios auxiliares;2019;2.047.045
Total Nacional;02 Aragón;Valor;O_Q. Administración pública y defensa, seguridad social obligatoria, educación, actividades sanitarias y de servicios sociales;2021(P);6.733.104
